,productname,price,rating
0,"APPLE iPhone SE (Red, 128 GB)","34,999",4.5
1,"APPLE iPhone 13 (Starlight, 128 GB)","74,900",4.6
2,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","74,900",4.6
3,"APPLE iPhone 13 (Midnight, 128 GB)","74,900",4.6
4,"APPLE iPhone 13 (Blue, 128 GB)","74,900",4.6
5,"APPLE iPhone 12 Mini (Blue, 256 GB)","65,299",4.5
6,"APPLE iPhone 12 Mini (Purple, 256 GB)","65,299",4.5
7,"APPLE iPhone 13 (Green, 128 GB)","74,900",4.6
8,"APPLE iPhone SE (Red, 64 GB)","30,299",4.5
9,"APPLE iPhone 12 Mini (Black, 256 GB)","65,299",4.5
10,"APPLE iPhone SE (White, 64 GB)","30,299",4.5
11,"APPLE iPhone 11 (Green, 64 GB)","49,900",4.6
12,"APPLE iPhone SE (Black, 128 GB)","34,999",4.5
13,"APPLE iPhone 12 Mini (Blue, 64 GB)","49,999",4.5
14,"APPLE iPhone SE (White, 128 GB)","34,999",4.5
15,"APPLE iPhone 13 (Midnight, 256 GB)","84,900",4.6
16,"APPLE iPhone 11 (Green, 128 GB)","54,900",4.6
17,"APPLE iPhone 12 Mini (Green, 64 GB)","49,999",4.5
18,"APPLE iPhone 11 (White, 128 GB)","54,900",4.6
19,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","84,900",4.6
20,"APPLE iPhone 12 Mini (Black, 128 GB)","55,099",4.5
21,"APPLE iPhone 11 (Red, 128 GB)","54,900",4.6
22,"APPLE iPhone 11 (White, 64 GB)","49,900",4.6
23,"APPLE iPhone 12 Mini (Red, 256 GB)","65,299",4.5
